-DOCSTART- -X- O
มีการดู -X- _ I-Room_Neg
แลความสะอาด -X- _ I-Room_Neg

ได้รับบริการแบบแย่ๆ -X- _ B-Service_Neg
ขาดความใส่ใจ -X- _ I-Service_Neg
ราคาแพงเมื่อเทียบกับห้องพักเก่า -X- _ B-Value_Neg

พนักงานบริการไม่ดี -X- _ B-Service_Neg
ห้องเก่า -X- _ B-Room_Neg
จะไม่มาพักอีก -X- _ I-Room_Neg

พนักงานบริการช้า -X- _ B-Service_Neg
ไม่เต็มใจในการให้การบริการลูกค้า -X- _ I-Service_Neg
ในการสอบถามเรื่องการเช็คอิน -X- _ I-Service_Neg
การขอออกบิล -X- _ I-Service_Neg

ดีมาก -X- _ B-Service_Pos
พนักงานบริการดี -X- _ I-Service_Pos
ที่ตั้งโรงแรมค่อนข้างเดินทางสะดวก -X- _ B-Location_Pos

ดินทางสะดวก -X- _ B-Location_Pos
ติดบีทีเอส -X- _ I-Location_Pos
พนักงานบริการดี -X- _ B-Service_Pos
ห้องพักสะอาด -X- _ B-Clean_Pos

ไม่คุ้มค่ากับราคาที่จ่าย -X- _ B-Value_Neg

พนักงานไม่มีการบริหาร -X- _ B-Service_Neg
จัดการที่ดี -X- _ I-Service_Neg
ไม่มีความสะดวก -X- _ I-Service_Neg
ให้ลูกค้านั่งรอเช็คอินมากกว่า -X- _ I-Service_Neg
1 -X- _ I-Service_Neg
ชั่วโมง -X- _ I-Service_Neg
# -X- _ B-Impressed_Neg
ไม่ประทับใจ -X- _ I-Impressed_Neg

การบริการแย่ -X- _ B-Service_Neg
มีปัญหากับการบุ๊ค -X- _ I-Service_Neg
จองห้องของอโกด้า -X- _ I-Service_Neg
พนักงาน -X- _ I-Service_Neg
และผู้จัดการฝ่ายต้อนรับ -X- _ I-Service_Neg
ไม่สนใจไยดี -X- _ I-Service_Neg
บอกอย่างเดียวให้ออกไปติดต่ออโกด้าเอง -X- _ I-Service_Neg

ห้องพักรีโนเวทใหม่ -X- _ B-Room_Pos
สะอาด -X- _ B-Clean_Pos
มีสระว่ายน้ำ -X- _ B-Facilities_Pos
และฟิตเนสที่ดีมาก -X- _ I-Facilities_Pos
ที่จอดรถเพียบ -X- _ I-Facilities_Pos
อยู่ย่านของกินอร่อยๆ -X- _ O
พนักงานบริการดี -X- _ B-Service_Pos
ชอบๆๆไว้มีโอกาสจะมาพักอีก -X- _ I-Service_Pos

ห้องสะอาด -X- _ B-Clean_Pos
อุปกรณ์อำนวยความสะดวกครบๆ -X- _ B-Facilities_Pos
พนักงานทุกจุดคือดูแลดี -X- _ B-Service_Pos
พูดจาสุภาพ -X- _ I-Service_Pos
เราลืมสายชาร์จไว้ในห้อง -X- _ I-Service_Pos
ทางโรงแรมก็ส่งไปรษณีย์มาคืนให้ -X- _ I-Service_Pos
ขอบคุณมากๆเลยค่ะ -X- _ I-Service_Pos

ห้องพักสะอาด -X- _ B-Clean_Pos
ที่จอดรถเยอะ -X- _ B-Facilities_Pos
ข้าวต้มอร่อยมาก -X- _ B-Food_Pos
เสียอย่างเดียวห้องไม่เก็บเสียงเลย -X- _ B-Room_Neg
เสียงคุยกันข้างนอก -X- _ I-Room_Neg
คนจ้างในยังได้ยินคือดังมากนเสียงปิดประตูดังทั้งคืน -X- _ I-Room_Neg
โดนรวมคือดี -X- _ O

จองช่วงเข้ารับปริญญา -X- _ B-Location_Pos
ใกล้มอเดินทางสะดวก -X- _ I-Location_Pos
ห้องสะอาด -X- _ B-Clean_Pos
พนักงานบริการดี -X- _ B-Service_Pos
พูดจาดี -X- _ I-Service_Pos
วิวที่พักฟิวคอนโดทั่วไป -X- _ B-View_Neu
แนะนำค่าาา -X- _ B-Recommend_Pos

ส่วนตัวชอบทำเลที่พักมากค่ะ -X- _ B-Location_Pos
จะเดินไปซอยข้างหน้าหรือข้างหลังก็มีร้านอาหารเยอะแยะไปหมด -X- _ I-Location_Pos
ห้องพักดูดี -X- _ B-Room_Pos
ของครับครัน -X- _ B-Facilities_Pos
โดยเฉพาะโซนครัวมีทุกอย่างเลย -X- _ I-Facilities_Pos
แต่ห้องน้ำแอบน้ำขังไปนิดนึง -X- _ B-Facilities_Neu
โดยรวมประทับใจมาก -X- _ B-Impressed_Pos

สถานที่ -X- _ B-Location_Pos
: -X- _ I-Location_Pos
ใกล้กับสิ่งอำนวยค.สะดวก -X- _ I-Location_Pos
หรือถานที่เที่ยวมากมายแถวบางแสน -X- _ I-Location_Pos
แต่ไกลจากหาด -X- _ B-Location_Neg
เดินทาง -X- _ O
: -X- _ O
แนะนำว่าควรมีรถส่วนตัวอย่างเดียว -X- _ O
ที่พักอยู่ในซอยลึกพอสมควร -X- _ O
อาหารเช้า -X- _ B-Food_Pos
: -X- _ I-Food_Pos
ตรงปกมาก -X- _ I-Food_Pos
ไม่มีอะไรเท่าไหร่ -X- _ I-Food_Pos
ไม่ใช่บุฟเฟ่ต์ -X- _ I-Food_Pos
ความสะอาด -X- _ B-Clean_Neu
: -X- _ I-Clean_Neu
สะอาด -X- _ I-Clean_Neu
พอสมควร -X- _ I-Clean_Neu
ผ้าห่ม -X- _ I-Clean_Neu
หรืผ้าปูเตียงคือสะอาดไม่ได้ปูไว้นาน -X- _ I-Clean_Neu
เลยรู้สึกไม่คันเพราะไรฝุ่น -X- _ I-Clean_Neu
โดยรวมโอเค -X- _ I-Clean_Neu
ไม่แย่ -X- _ I-Clean_Neu
ในห้องเหมือนอยู่คอนโด -X- _ O
คนที่3 -X- _ O
เสริมฟูกหน้าทีวีนอกห้องนอน -X- _ O

ห้องพักสะอาดมาก -X- _ B-Clean_Pos
สิ่งอำนวยความสะดวกครบครัน -X- _ B-Facilities_Pos
บรรยากาศดี -X- _ B-Good_View
ไม่ไกลจากชายหาด -X- _ B-Location_Pos
ข้าวต้มกุ้งมื้อเช้าอร่อย -X- _ B-Food_Pos
พนักงานบริการดีมาก -X- _ B-Service_Pos
สระว่ายน้ำสะอาด -X- _ B-Clean_Pos
วิวดีมาก -X- _ B-Good_View

ห้องพักสะอาด -X- _ B-Clean_Pos
นอนหลับสบาย -X- _ B-Room_Pos
เงียบ -X- _ I-Room_Pos
ไม่มีเสียงรบกวน -X- _ I-Room_Pos
พนักงานบริการดี -X- _ B-Service_Pos
สิ่งอำนวยความ -X- _ O

สะดวกในห้องครบถ้วน -X- _ B-Facilities_Pos
โรงแรมอยู่ซอยถัดจากริมหาด -X- _ B-Location_Pos
สามารถเดินออกไปได้ -X- _ I-Location_Pos
มีที่จอดรถกว้างพอให้ทุกห้อง -X- _ B-Facilities_Pos
แต่ตอนเข้าพักช่วงวันหยุดยาว -X- _ O
เชคอินตอนบ่ายสอง -X- _ O
คิวยาวมาก -X- _ O
จุดรอเคาเตอร์เชคอินไม่มีแอร์ -X- _ O
ตอนต่อคิวค่อนข้างร้อน -X- _ O
แต่โดยรวมประทับใจค่ะ -X- _ B-Impressed_Pos

ห้องสกปรก -X- _ B-Clean_Neg
มีทรายบนที่นอน -X- _ I-Clean_Neg
และเหม็นอับ -X- _ I-Clean_Neg
ซักโครกกดไม่ค่อยลง -X- _ B-Facilities_Neg
ขี้ลอย -X- _ I-Facilities_Neg
ต้องกดหลายๆทีถึงจะหมด -X- _ I-Facilities_Neg
ท่อน้ำทิ้งก็ละบายช้ามาก -X- _ I-Facilities_Neg
อาบน้ำทีน้ำเต็มพื้น -X- _ I-Facilities_Neg
แล้วก็มีกลิ่นออกมาจากท่อ -X- _ I-Facilities_Neg
ไม่มีน้ำดื่มให้ -X- _ I-Facilities_Neg
หาที่จอดรถลำบาก -X- _ I-Facilities_Neg
ยิ่งถ้าไปเที่ยวกลับมาดึกๆ -X- _ I-Facilities_Neg
ต้องขับไปจอดด้านในไกลสุด -X- _ I-Facilities_Neg
อาหารเช้าไม่กล้าทาน -X- _ B-Food_Neg
เพราะกลางคืนพยายามดื่มให้เมาแล้วนอน -X- _ O
รีบตื่นรีบเช็คเอาท์ -X- _ O
กลับ -X- _ O
ไม่เอาแล้ว -X- _ O

ห้องพักสะอาด -X- _ B-Clean_Pos
คุ้มค่ากับราคา -X- _ B-Value_Pos
วิวที่ได้ดีมาก -X- _ B-Good_View
แม้จะไม่ได้ติดทะเลแต่เดินทางสะดวก -X- _ B-Location_Pos
ส่วนกลางดีมาก -X- _ B-Facilities_Pos
มีที่ให้เล่นน้ำ -X- _ I-Facilities_Pos
เล่นบอร์ดเกม -X- _ I-Facilities_Pos
ปิงปอง -X- _ I-Facilities_Pos
ฟุตบอลโต๊ะ -X- _ I-Facilities_Pos
แต่สระน้ำปิดเร็วไปนิด -X- _ I-Facilities_Pos
น่าจะว่ายได้24ชม. -X- _ I-Facilities_Pos
เพราะเดินทางจากกทม.มาถึงบางแสนก็ทุ่มนึงแล้ว -X- _ O
มีเวลาเล่นแค่2ชม.เอง -X- _ O

ห้องพักสะอาด -X- _ B-Clean_Pos
นอนหลับสบาย -X- _ B-Room_Pos
เงียบ -X- _ I-Room_Pos
ไม่มีเสียงรบกวน -X- _ I-Room_Pos
สิ่งอำนวยความสะดวกในห้องครบถ้วน -X- _ B-Facilities_Pos
พนักงานบริการดี -X- _ B-Service_Pos
ที่จอดรถกว้าง -X- _ B-Facilities_Pos
โรงแรมอยู่ซอยถัดจากริมหาด -X- _ B-Location_Pos
สามารถเดินได้ -X- _ O
แต่เข้าพักตอนช่วงหยุดยาว -X- _ O
